id_sap,nombre_corto,nombre_oficial,actividad,email,telefono,web_oficial,direccion,poblacion,pais
100034920,"INOXIDABLES DE MOLINA DE, S.L.","INOXIDABLES DE MOLINA DE, S.L.",,,,,,MOLINA DE SEGURA,España (ES)
100025271,ELECTROMAIN,ELECTROMAIN ELECTRONICA IND.SL,,,,,,APDO.269-MOLINA DE SEGURA,España (ES)
100025256,COMERCIAL,"COMERCIAL INDUSTRIAL GARCIA,SA",,,,,,MOLINA DE SEGURA,España (ES)
100025243,"SUMINISTROS Y MT.HELLIN, SLL.","SUMINISTROS Y MT.HELLIN, SLL.",,,,,,HELLIN  (Aptdo 165),España (ES)
100025236,CEF,"CEF,ALMACEN MAT.ELECTRICO,SAU",,,,,,S.PEDRO ALCANTARA,España (ES)
100025419,"ESGAS ACCESORIOS,SL.","ESGAS ACCESORIOS,SL.",,,,,,MOLINA DE SEGURA,España (ES)
100025134,"FERRETERIA DEL SEGURA,S.L.","FERRETERIA DEL SEGURA,S.L.",,,,,,MOLINA DE SEGURA,España (ES)
100035845,BERDIN,"BERDIN LEVANTE,S.L.",,,,,,CASTELLON DE LA PLANA,España (ES)
100034026,"COREFLUID,SL.","COREFLUID,SL.",,,,,,ALHAMA DE MURCIA,España (ES)
100034082,Hidráulica del segura,"HIDRAULICA DEL SEGURA,SL.",,,,,,LORQUI,España (ES)
100034454,ALFA CEDIVA,ALFA CEDIVA S.L.,,,,,,MOLINA DE SEGURA,España (ES)
100025088,"SUM.INDUSTRIALES ARNALDOS,S.L.","SUM.INDUSTRIALES ARNALDOS,S.L.",,,,,,LAS TORRES DE COTILLAS,España (ES)
100034152,PICAZO,"PICAZO TRANSM.Y FLUIDOS,SLL.",,,,,,MOLINA DE SEGURA,España (ES)
100025244,INTEC,"SUMINISTROS INTEC,SL.",,,,,,ELCHE,España (ES)
,TCA,TCA,,,,,,,
100033950,IMCO,"IMCO PROCESS & PACKAGING,S.A.",,,,,,BARCELONA,España (ES)
100025289,FERAGRO,FERAGRO SUMINISTROS IND.SLU,,,,,,MURCIA,España (ES)
100025355,DEXIBERICA,"DEXIBERICA SOLUC INDUST, SAU",,,,,,ZARAGOZA,España (ES)
100025421,SIDEX,SIDEX SUMINISTROS S.L.,,,,,,ESPINARDO,España (ES)
100034136,COTEC,"COTEC DEL LEVANTE, SL",,,,,,ALGUAZAS,España (ES)
,SMARLOGY,SMARLOGY,,,,,,,
100034164,ULMA,"ULMA PACKAGING,S.COOP.",,,,,,OÑATI,España (ES)
100033943,COMES,"COMES, S.A.",,,,,,CAMARLES,España (ES)
100033915,MURCIA CODIFICACION,"MURCIA CODIFICACION, SL",,,,,,ALGUAZAS,España (ES)
,ATP,ATP,,,,,,,
100034491,TECNOSERVEI,"TECNOSERVEI SINERGIA, SL.",,,,,,POLINYA,España (ES)
,A2C,A2C,,,,,,,
100033923,PONTONES GUILLAMON,"PONTONES GUILLAMON,SL.",,,,,,ALCANTARILLA,España (ES)
,HABASIT Y AMMERAL,HABASIT Y AMMERAL,,,,,,,
100034239,HRS HEAT EXCHANGERS,HRS HEAT EXCHANGERS S.L.U,,,,,,P.O.BOX 382  / LORQUI,España (ES)
,SIA,SIA,,,,,,,
,VIASTORE,VIASTORE,,,,,,,
,WAM GROUP,WAM GROUP,,,,,,,
100033945,INTERTRONIC,"INTERTRONIC INTERNACIONAL,SL.",,,,,,PATERNA,España (ES)
100025420,JOSE GOMARIZ,JOSE GOMARIZ HERNANDEZ,,,,,,MOLINA DE SEGURA,España (ES)
